round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
2,58,Uroš Slokar,F,Slovenia,Toronto Raptors,Snaidero Udine (Italy),Yes,Playing Internationally,2005
2,59,Cenk Akyol,G,Turkey,Atlanta Hawks,Efes Pilsen (Turkey),Yes,Playing Internationally,2005
2,60,Alex Acker,G,United States,Detroit Pistons,Pepperdine,Yes,College Junior,2005
1,1,Andrea Bargnani,PF,Italy,Toronto Raptors,Benetton Treviso (Italy),No,Playing Internationally,2006
1,2,LaMarcus Aldridge,PF,United States,Chicago Bulls,Texas,Yes,College Sophmore,2006
1,3,Adam Morrison,SF,United States,Charlotte Bobcats,Gonzaga,No,College Junior,2006
1,4,Tyrus Thomas,PF,United States,Portland Trail Blazers,LSU,Yes,College Freshman,2006
1,5,Shelden Williams,PF,United States,Atlanta Hawks,Duke,No,College Senior,2006
1,6,Brandon Roy,SG,United States,Minnesota Timberwolves,Washington,Yes,College Senior,2006
1,7,Randy Foye,SG,United States,Boston Celtics,Villanova,Yes,College Senior,2006
1,8,Rudy Gay,SF,United States,Houston Rockets,Connecticut,Yes,College Sophmore,2006
1,9,Patrick O'Bryant,C,United States,Golden State Warriors,Bradley,No,College Sophmore,2006
1,10,Mouhamed Sene,C,Senegal,Seattle SuperSonics,Verviers-Pepinster (Belgium),No,Playing Internationally,2006
1,11,JJ Redick,SG,United States,Orlando Magic,Duke,No,College Senior,2006
1,12,Hilton Armstrong,C,United States,New Orleans/Oklahoma City Hornets,Connecticut,No,College Senior,2006
1,13,Thabo Sefolosha,SG,Switzerland,Philadelphia 76ers,Angelico Biella (Italy),Yes,Playing Internationally,2006
1,14,Ronnie Brewer,SG,United States,Utah Jazz,Arkansas,No,College Junior,2006
1,15,Cedric Simmons,SF,United States,New Orleans/Oklahoma City Hornets,NC State,Yes,College Sophmore,2006
1,16,Rodney Carney,SF,United States,Chicago Bulls,Memphis,Yes,College Senior,2006
1,17,Shawne Williams,PF,United States,Indiana Pacers,Memphis,No,College Freshman,2006
1,18,Oleksiy Pecherov,C,Ukraine,Washington Wizards,BC Kyiv (Ukraine),No,Playing Internationally,2006
1,19,Quincy Douby,G,United States,Sacramento Kings,Rutgers,No,College Junior,2006
1,20,Renaldo Balkman,F,Puerto Rico,New York Knicks,South Carolina,Yes,College Sophmore,2006
1,21,Rajon Rondo,PG,United States,Phoenix Suns,Kentucky,Yes,College Sophmore,2006
1,22,Marcus Williams,G,United States,New Jersey Nets,Connecticut,Yes,College Junior,2006
1,23,Josh Boone,F,United States,New Jersey Nets,Connecticut,No,College Junior,2006
1,24,Kyle Lowry,PG,United States,Memphis Grizzlies,Villanova,No,College Sophmore,2006
1,25,Shannon Brown,G,United States,Cleveland Cavaliers,Michigan State,No,College Junior,2006
1,26,Jordan Farmar,G,United States,Los Angeles Lakers,UCLA,Yes,College Sophmore,2006
1,27,Sergio Rodríguez,G,Spain,Phoenix Suns,Adecco Estudiantes (Spain),Yes,Playing Internationally,2006
1,28,Maurice Ager,G,United States,Dallas Mavericks,Michigan State,No,College Senior,2006
1,29,Mardy Collins,G,United States,New York Knicks,Temple,Yes,College Senior,2006
1,30,Joel Freeland,F,United Kingdom,Portland Trail Blazers,Gran Canaria (Spain),Yes,Playing Internationally,2006
2,31,James White,G,United States,Portland Trail Blazers,Cincinnati,Yes,College Senior,2006
2,32,Steve Novak,SF,United States,Houston Rockets,Marquette,Yes,College Senior,2006
2,33,Solomon Jones,F,United States,Atlanta Hawks,South Florida,No,College Sophmore,2006
2,34,Paul Davis,C,United States,Los Angeles Clippers,Michigan State,Yes,College Senior,2006
2,35,P. J. Tucker,F,United States,Toronto Raptors,Texas,No,College Junior,2006
2,36,Craig Smith,F,United States,Minnesota Timberwolves,Boston College,Yes,College Senior,2006
2,37,Bobby Jones,F,United States,Minnesota Timberwolves,Washington,Yes,College Senior,2006
2,38,Kosta Perović,C,Serbia,Golden State Warriors,Partizan Belgrade (Serbia),No,Playing Internationally,2006
2,39,David Noel,F,United States,Milwaukee Bucks,North Carolina,Yes,College Senior,2006
2,40,Denham Brown,G,Canada,Seattle SuperSonics,Connecticut,No,College Senior,2006
2,41,James Augustine,F,United States,Orlando Magic,Illinois,No,College Senior,2006
2,42,Daniel Gibson,G,United States,Cleveland Cavaliers,Texas,Yes,College Sophmore,2006
2,43,Marcus Vinicius,F,Brazil,New Orleans/Oklahoma City Hornets,Objetivo São Carlos (Brazil),No,Playing Internationally,2006
2,44,Lior Eliyahu,F,Israel,Orlando Magic,Hapoel Galil Elyon (Israel),Yes,Playing Internationally,2006
2,45,Alexander Johnson,F,United States,Indiana Pacers,Florida State,Yes,College Junior,2006
2,46,Dee Brown,G,United States,Utah Jazz,Illinois,Yes,College Senior,2006
2,47,Paul Millsap,PF,United States,Utah Jazz,Louisiana Tech,No,College Junior,2006
2,48,Vladimir Veremeenko,F,Belarus,Washington Wizards,Dynamo St. Petersburg (Russia),No,Playing Internationally,2006
2,49,Leon Powe,F,United States,Denver Nuggets,California,Yes,College Junior,2006
2,50,Ryan Hollins,C,United States,Charlotte Bobcats,UCLA,Yes,College Senior,2006
2,51,Cheikh Samb,C,Senegal,Los Angeles Lakers,WTC Cornellà (Spain),Yes,Playing Internationally,2006
2,52,Guillermo Diaz,G,Puerto Rico,Los Angeles Clippers,Miami,No,College Junior,2006
2,53,Yotam Halperin,G,Israel,Seattle SuperSonics,Union Olimpija (Slovenia),Yes,Playing Internationally,2006
2,54,Hassan Adams,G,United States,New Jersey Nets,Arizona,No,College Senior,2006
2,55,Ejike Ugboaja,F,Nigeria,Cleveland Cavaliers,Union Bank Lagos (Nigeria),No,Playing Internationally,2006
2,56,Edin Bavčić,F,Bosnia and Herzegovina,Toronto Raptors,ASA BH Telecom (Bosnia and Herzegovina),Yes,Playing Internationally,2006
2,57,Loukas Mavrokefalidis,C,Greece,Minnesota Timberwolves,PAOK (Greece),Yes,Playing Internationally,2006
2,58,J. R. Pinnock,G,United States,Dallas Mavericks,George Washington,Yes,College Junior,2006
2,59,Damir Markota,F,Croatia,San Antonio Spurs,Cibona Zagreb (Croatia),Yes,Playing Internationally,2006
2,60,Will Blalock,G,United States,Detroit Pistons,Iowa State,No,College Junior,2006
1,1,Greg Oden,C,United States,Portland Trail Blazers,Ohio State,No,College Freshman,2007
1,2,Kevin Durant,SF,United States,Seattle SuperSonics,Texas,No,College Freshman,2007
1,3,Al Horford,C,Dominican Republic,Atlanta Hawks,Florida,No,College Junior,2007
1,4,Mike Conley,PG,United States,Memphis Grizzlies,Ohio State,No,College Freshman,2007
1,5,Jeff Green,SF,United States,Boston Celtics,Georgetown,Yes,College Junior,2007
1,6,Yi Jianlian,PF,China,Milwaukee Bucks,Guangdong Southern Tigers,No,College Sophmore,2007
1,7,Corey Brewer,SF,United States,Minnesota Timberwolves,Florida,No,College Junior,2007
1,8,Brandan Wright,PF,United States,Charlotte Bobcats,North Carolina,Yes,College Freshman,2007
1,9,Joakim Noah,C,France,Chicago Bulls,Florida,Yes,College Junior,2007
1,10,Spencer Hawes,C,United States,Sacramento Kings,Washington,No,College Freshman,2007
1,11,Acie Law,PG,United States,Atlanta Hawks,Texas A&M,Yes,College Senior,2007
1,12,Thaddeus Young,PF,United States,Philadelphia 76ers,Georgia Tech,No,College Freshman,2007
1,13,Julian Wright,SF,United States,New Orleans Hornets,Kansas,No,College Sophmore,2007
1,14,Al Thornton,SF,United States,Los Angeles Clippers,Florida State,No,College Senior,2007
1,15,Rodney Stuckey,SG,United States,Detroit Pistons,Eastern Washington,Yes,College Sophmore,2007
1,16,Nick Young,SG,United States,Washington Wizards,USC,No,College Junior,2007
1,17,Sean Williams,PF,United States,New Jersey Nets,Boston College,No,College Junior,2007
1,18,Marco Belinelli,SG,Italy,Golden State Warriors,Fortitudo Bologna (Italy),No,Playing Internationally,2007
1,19,Javaris Crittenton,PG,United States,Los Angeles Lakers,Georgia Tech,No,College Freshman,2007
1,20,Jason Smith,PF,United States,Miami Heat,Colorado State,Yes,College Junior,2007
1,21,Daequan Cook,SG,United States,Philadelphia 76ers,Ohio State,Yes,College Freshman,2007
1,22,Jared Dudley,SF,United States,Charlotte Bobcats,Boston College,Yes,College Senior,2007
1,23,Wilson Chandler,SF,United States,New York Knicks,DePaul,Yes,College Sophmore,2007
1,24,Rudy Fernández,SG,Spain,Phoenix Suns,Joventut Badalona (Spain),Yes,Playing Internationally,2007
1,25,Morris Almond,SG,United States,Utah Jazz,Rice,No,College Senior,2007
1,26,Aaron Brooks,PG,United States,Houston Rockets,Oregon,No,College Senior,2007
1,27,Arron Afflalo,SG,United States,Detroit Pistons,UCLA,No,College Junior,2007
1,28,Tiago Splitter,C,Brazil,San Antonio Spurs,TAU Cerámica (Spain),No,Playing Internationally,2007
1,29,Alando Tucker,SF,United States,Phoenix Suns,Wisconsin,No,College Senior,2007
1,30,Petteri Koponen,SG,Finland,Philadelphia 76ers,Tapiolan Honka (Finland),Yes,Playing Internationally,2007
2,31,Carl Landry,PF,United States,Seattle SuperSonics,Purdue,Yes,College Senior,2007
2,32,Gabe Pruitt,PG,United States,Boston Celtics,USC,No,College Junior,2007
2,33,Marcus Williams,SF,United States,San Antonio Spurs,Arizona,Yes,College Sophmore,2007
2,34,Nick Fazekas,PF,United States,Dallas Mavericks,Nevada,Yes,College Senior,2007
2,35,Glen Davis,PF,United States,Seattle SuperSonics,LSU,Yes,College Junior,2007
2,36,Jermareo Davidson,PF,United States,Golden State Warriors,Alabama,Yes,College Senior,2007
2,37,Josh McRoberts,PF,United States,Portland Trail Blazers,Duke,No,College Sophmore,2007
2,38,Kyrylo Fesenko,C,Ukraine,Philadelphia 76ers,SK Cherkassy (Ukraine)),Yes,Playing Internationally,2007
2,39,Stanko Barać,C,Croatia,Miami Heat,Široki Brijeg (Bosnia and Herzegovina),Yes,Playing Internationally,2007
2,40,Sun Yue,SF,China,Los Angeles Lakers,Beijing Olympians (ABA),Yes,Playing Internationally,2007
2,41,Chris Richard,PF,United States,Minnesota Timberwolves,Florida,Yes,College Senior,2007
2,42,Derrick Byars,SG,United States,Portland Trail Blazers,Vanderbilt,Yes,College Senior,2007
2,43,Adam Haluska,SG,United States,New Orleans Hornets,Iowa,No,College Senior,2007
2,44,Reyshawn Terry,SF,United States,Orlando Magic,North Carolina,Yes,College Senior,2007
2,45,Jared Jordan,PG,United States,Los Angeles Clippers,Marist,No,College Senior,2007
2,46,Stephane Lasme,PF,Gabon,Golden State Warriors,Massachusetts,Yes,College Senior,2007
2,47,Dominic McGuire,SF,United States,Washington Wizards,Fresno State,No,College Freshman,2007
2,48,Marc Gasol,C,Spain,Los Angeles Lakers,Akasvayu Girona (Spain),No,Playing Internationally,2007
2,49,Aaron Gray,C,United States,Chicago Bulls,Pittsburgh,Yes,College Senior,2007
2,50,Renaldas Seibutis,SG,Lithuania,Dallas Mavericks,Maroussi (Greece),Yes,Playing Internationally,2007
2,51,Jameson Curry,PG,United States,Chicago Bulls,Oklahoma State,Yes,College Junior,2007
2,52,Taurean Green,PG,Georgia,Portland Trail Blazers,Florida,Yes,College Junior,2007
2,53,Demetris Nichols,SF,United States,Portland Trail Blazers,Syracuse,Yes,College Senior,2007
2,54,Brad Newley,SF,Australia,Houston Rockets,Townsville Crocodiles (Australia),Yes,Playing Internationally,2007
2,55,Herbert Hill,PF,United States,Utah Jazz,Providence,Yes,College Senior,2007
2,56,Ramon Sessions,PG,United States,Milwaukee Bucks,Nevada,Yes,College Junior,2007
2,57,Sammy Mejia,SG,Dominican Republic,Detroit Pistons,DePaul,No,College Senior,2007
2,58,Giorgos Printezis,PF,Greece,San Antonio Spurs,Olympia Larissa (Greece),Yes,Playing Internationally,2007
2,59,D.J. Strawberry,PG,United States,Phoenix Suns,Maryland,No,College Senior,2007
2,60,Milovan Raković,C,Serbia,Dallas Mavericks,Mega Ishrana (Serbia),Yes,Playing Internationally,2007
1,1,Derrick Rose,PG,United States,Chicago Bulls,Memphis,No,College Freshman,2008
1,2,Michael Beasley,PF,United States,Miami Heat,Kansas State,No,College Freshman,2008
1,3,O. J. Mayo,SG,United States,Minnesota Timberwolves,USC,Yes,College Freshman,2008
1,4,Russell Westbrook,PG,United States,Seattle SuperSonics,UCLA,No,College Sophmore,2008
1,5,Kevin Love,PF,United States,Memphis Grizzlies,UCLA,Yes,College Freshman,2008
1,6,Danilo Gallinari,PF,Italy,New York Knicks,Olimpia Milano (Italy),No,Playing Internationally,2008
1,7,Eric Gordon,SG,United States,Los Angeles Clippers,Indiana,No,College Freshman,2008
1,8,Joe Alexander,SF,United States,Milwaukee Bucks,West Virginia,No,College Junior,2008
1,9,D. J. Augustin,PG,United States,Charlotte Bobcats,Texas,No,College Sophmore,2008
1,10,Brook Lopez,C,United States,New Jersey Nets,Stanford,No,College Sophmore,2008
1,11,Jerryd Bayless,PG,United States,Indiana Pacers,Arizona,Yes,College Freshman,2008
1,12,Jason Thompson,PF,United States,Sacramento Kings,Rider,No,College Senior,2008
1,13,Brandon Rush,SG,United States,Portland Trail Blazers,Kansas,Yes,College Junior,2008
1,14,Anthony Randolph,PF,United States,Golden State Warriors,LSU,No,College Freshman,2008
1,15,Robin Lopez,C,United States,Phoenix Suns,Stanford,Yes,College Sophmore,2008
1,16,Marreese Speights,PF,United States,Philadelphia 76ers,Florida,No,College Sophmore,2008
1,17,Roy Hibbert,C,United States,Toronto Raptors,Georgetown,Yes,College Senior,2008
1,18,JaVale McGee,C,United States,Washington Wizards,Nevada,No,College Sophmore,2008
1,19,JJ Hickson,PF,United States,Cleveland Cavaliers,NC State,No,College Freshman,2008
1,20,Alexis Ajinça,C,France,Charlotte Bobcats,Hyères-Toulon,Yes,College Freshman,2008
1,21,Ryan Anderson,PF,United States,New Jersey Nets,California,Yes,College Sophmore,2008
1,22,Courtney Lee,SG,United States,Orlando Magic,Western Kentucky,No,College Senior,2008
1,23,Kosta Koufos,C,Greece,Utah Jazz,Ohio State,No,College Freshman,2008
1,24,Serge Ibaka,PF/C,Republic of the Congo,Seattle SuperSonics,L'Hospitalet (Spain),Yes,Playing Internationally,2008
1,25,Nicolas Batum,SF,France,Houston Rockets,Le Mans,Yes,College Freshman,2008
1,26,George Hill,PG,United States,San Antonio Spurs,IUPUI,No,College Junior,2008
1,27,Darrell Arthur,PF,United States,New Orleans Hornets,Kansas,Yes,College Sophmore,2008
1,28,Donté Greene,SF,United States,Memphis Grizzlies,Syracuse,Yes,College Freshman,2008
1,29,D. J. White,PF,United States,Detroit Pistons,Indiana,Yes,College Senior,2008
1,30,J. R. Giddens,SG,United States,Boston Celtics,New Mexico,No,College Senior,2008
2,31,Nikola Peković,C,Montenegro,Minnesota Timberwolves,Partizan (Serbia),Yes,Playing Internationally,2008
2,32,Walter Sharpe,PF,United States,Seattle SuperSonics,UAB,Yes,College Junior,2008
2,33,Joey Dorsey,PF,United States,Portland Trail Blazers,Memphis,Yes,College Senior,2008
2,34,Mario Chalmers,PG,United States,Minnesota Timberwolves,Kansas,Yes,College Junior,2008
2,35,DeAndre Jordan,C,United States,Los Angeles Clippers,Texas A&M,No,College Freshman,2008
2,36,Ömer Aşık,C,Turkey,Portland Trail Blazers,Fenerbahçe Ülker (Turkey),Yes,Playing Internationally,2008
2,37,Luc Mbah a Moute,SF,Cameroon,Milwaukee Bucks,UCLA,No,College Junior,2008
2,38,Kyle Weaver,SG,United States,Charlotte Bobcats,Washington State,No,College Senior,2008
2,39,Sonny Weems,SG,United States,Chicago Bulls,Arkansas,Yes,College Senior,2008
2,40,Chris Douglas-Roberts,SG,United States,New Jersey Nets,Memphis,No,College Junior,2008
2,41,Nathan Jawai,PF,Australia,Indiana Pacers,Cairns Taipans (Australia),Yes,Playing Internationally,2008
2,42,Sean Singletary,PG,United States,Sacramento Kings,Virginia,Yes,College Senior,2008
2,43,Patrick Ewing Jr.,SF,Jamaica,Sacramento Kings,Georgetown,No,College Senior,2008
2,44,Ante Tomić,C,Croatia,Utah Jazz,KK Zagreb (Croatia),Yes,Playing Internationally,2008
2,45,Goran Dragić,PG,Slovenia,San Antonio Spurs,Union Olimpija (Slovenia),Yes,Playing Internationally,2008
2,46,Trent Plaisted,PF,United States,Seattle SuperSonics,BYU,Yes,College Junior,2008
2,47,Bill Walker,SG,United States,Washington Wizards,Kansas State,Yes,College Freshman,2008
2,48,Malik Hairston,SG,United States,Phoenix Suns,Oregon,Yes,College Senior,2008
2,49,Richard Hendrix,PF,United States,Golden State Warriors,Alabama,No,College Junior,2008
2,50,DeVon Hardin,C,United States,Seattle SuperSonics,California,Yes,College Senior,2008
2,51,Shan Foster,SG,United States,Dallas Mavericks,Vanderbilt,No,College Senior,2008
2,52,Darnell Jackson,PF,United States,Miami Heat,Kansas,Yes,College Senior,2008
2,53,Tadija Dragićević,PF,Serbia,Utah Jazz,Red Star Belgrade (Serbia),No,Playing Internationally,2008
2,54,Maarty Leunen,PF,United States,Houston Rockets,Oregon,No,College Senior,2008
2,55,Mike Taylor,PG,United States,Portland Trail Blazers,Idaho Stampede (D-League),Yes,Playing Internationally,2008
2,56,Sasha Kaun,C,Russia,Seattle SuperSonics,Kansas,Yes,College Senior,2008
2,57,James Gist,PF,United States,San Antonio Spurs,Maryland,No,College Senior,2008
2,58,Joe Crawford,SG,United States,Los Angeles Lakers,Kentucky,No,College Senior,2008
2,59,Deron Washington,SF,United States,Detroit Pistons,Virginia Tech,No,College Senior,2008
2,60,Semih Erden,C,Turkey,Boston Celtics,Fenerbahçe Ülker (Turkey),No,Playing Internationally,2008
1,1,Blake Griffin,PF,United States,Los Angeles Clippers,Oklahoma,No,College Sophmore,2009
1,2,Hasheem Thabeet,C,Tanzania,Memphis Grizzlies,Connecticut,No,College Junior,2009
1,3,James Harden,SG,United States,Oklahoma City Thunder,Arizona State,No,College Sophmore,2009
1,4,Tyreke Evans,SG,United States,Sacramento Kings,Memphis,No,College Freshman,2009
1,5,Ricky Rubio,PG,Spain,Minnesota Timberwolves,DKV Joventut (Spain),Yes,Playing Internationally,2009
1,6,Jonny Flynn,PG,United States,Minnesota Timberwolves,Syracuse,No,College Sophmore,2009
1,7,Stephen Curry,PG,United States,Golden State Warriors,Davidson,No,College Junior,2009
1,8,Jordan Hill,PF,United States,New York Knicks,Arizona,No,College Junior,2009
1,9,DeMar DeRozan,SG,United States,Toronto Raptors,USC,No,College Freshman,2009
1,10,Brandon Jennings,PG,United States,Milwaukee Bucks,Lottomatica Roma (Italy),No,Playing Internationally,2009
1,11,Terrence Williams,SG,United States,New Jersey Nets,Louisville,No,College Senior,2009
1,12,Gerald Henderson,SG,United States,Charlotte Bobcats,Duke,No,College Junior,2009
1,13,Tyler Hansbrough,PF,United States,Indiana Pacers,North Carolina,No,College Senior,2009
1,14,Earl Clark,SF,United States,Phoenix Suns,Louisville,No,College Junior,2009
1,15,Austin Daye,SF,United States,Detroit Pistons,Gonzaga,No,College Sophmore,2009
1,16,James Johnson,SF,United States,Chicago Bulls,Wake Forest,No,College Sophmore,2009
1,17,Jrue Holiday,PG,United States,Philadelphia 76ers,UCLA,No,College Freshman,2009
1,18,Ty Lawson,PG,United States,Minnesota Timberwolves,North Carolina,Yes,College Junior,2009
1,19,Jeff Teague,PG,United States,Atlanta Hawks,Wake Forest,No,College Sophmore,2009
1,20,Eric Maynor,PG,United States,Utah Jazz,VCU,No,College Senior,2009
1,21,Darren Collison,PG,United States,New Orleans Hornets,UCLA,No,College Senior,2009
1,22,Víctor Claver,SF,Spain,Portland Trail Blazers,Pamesa Valencia (Spain),Yes,Playing Internationally,2009
1,23,Omri Casspi,SF,Israel,Sacramento Kings,Maccabi Tel Aviv (Israel),Yes,Playing Internationally,2009
